node_id,degree,clustering,betweenness,pagerank,eigenvector,DB_labels,pagerank_rank,chromosome,start,end,read_count,bases_covered,bin_size,coverage_fraction,total_genes,total_genes_length
0,67.0,0.30031659882406153,0.003103563301556291,0.004215069535173041,0.06348089821797082,2,98,NC_000007.14,54765000,54770000,7,319,5000,0.0638,0,0
1,64.0,0.2857142857142857,0.003377311741375703,0.004084863981717206,0.058025977233117504,2,114,NC_000007.14,54770000,54775000,4,201,5000,0.0402,0,0
2,55.0,0.2868686868686869,0.00287155508007799,0.0036277182402128017,0.04806505770282635,1,159,NC_000007.14,54775000,54780000,20,555,5000,0.111,0,0
3,44.0,0.2748414376321353,0.001593132891009884,0.0030127155138521683,0.039219998062714,2,217,NC_000007.14,54780000,54785000,20,853,5000,0.1706,0,0
4,48.0,0.28102836879432624,0.0020007955395696547,0.0032428610533199154,0.041826263042306716,1,202,NC_000007.14,54785000,54790000,7,353,5000,0.0706,0,0
5,40.0,0.3230769230769231,0.0012186403363489838,0.0028256891409409696,0.033738853004166916,1,228,NC_000007.14,54790000,54795000,21,940,5000,0.188,0,0
6,27.0,0.301994301994302,0.0005837435820615477,0.0020923291787295936,0.023341609545552217,1,250,NC_000007.14,54795000,54800000,6,300,5000,0.06,0,0
7,25.0,0.3466666666666667,0.0004284070537027216,0.0019667639952849285,0.023584967583511567,1,251,NC_000007.14,54800000,54805000,7,241,5000,0.0482,1,45656
8,32.0,0.29435483870967744,0.0008191592033498917,0.002341639889403585,0.030293310710367102,2,245,NC_000007.14,54805000,54810000,39,636,5000,0.1272,1,5690
9,44.0,0.2822410147991543,0.00140431557556362,0.002976465634562174,0.04209711047104568,2,221,NC_000007.14,54810000,54815000,10,334,5000,0.0668,1,5690
10,50.0,0.26612244897959186,0.002109435458566591,0.0033207960078943375,0.04642812760950277,2,192,NC_000007.14,54815000,54820000,11,503,5000,0.1006,0,0
11,52.0,0.2571644042232277,0.0022284143832154526,0.00342924190887648,0.04779948996897605,2,181,NC_000007.14,54820000,54825000,8,354,5000,0.0708,0,0
12,53.0,0.2539912917271408,0.002269326668529495,0.003472831063361468,0.050136704288691825,4,179,NC_000007.14,54825000,54830000,5,251,5000,0.0502,0,0
13,39.0,0.2941970310391363,0.001401516643419176,0.0027539363048517,0.034698876756592494,1,233,NC_000007.14,54830000,54835000,3,150,5000,0.03,0,0
14,31.0,0.3161290322580645,0.0007061863417022234,0.0022957450001949552,0.027992302119495813,2,247,NC_000007.14,54835000,54840000,8,289,5000,0.0578,0,0
15,61.0,0.2617486338797814,0.00302229622909152,0.0039068535437742115,0.057175392586179666,1,130,NC_000007.14,54840000,54845000,7,213,5000,0.0426,0,0
